plant_cd,item_cd,item_nm,spec,item_acct_cd,item_acct_nm,item_group_cd,item_group_nm,item_class,item_class_nm,basic_unit,if_seq,create_type,is_canceled,source_inf_id,synced_at
PL11,97KHUON.SV2317_T4511UK_CASELOWER,"Khuôn SV-2317 T4511_UK CASE LOWER","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1574,"2026-08-25 15:39:08"
PL11,97KHUON.SV2318_T4511BRZ_CASELOWER,"Khuôn SV-2318 T4511_BRZ CASE LOWER","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1575,"2026-08-25 15:39:08"
PL11,"97KHUON.SV2319_T4511TH_CASE LOWER","Khuôn SV-2319 T4511_TH CASE LOWER","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1576,"2026-08-25 15:39:08"
PL11,97KHUONTHEO-SM-A145F-BRACKET,"khuôn thép SM-A145F Bracket cam","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1591,"2026-08-25 15:39:08"
PL11,"97KHUONTHEP SV-2402-NEWTON PRO2.6 CASE REAR","Khuôn thép sv-2402 NEWTON PRO 2.6 CASE REAR #2/2x8","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1592,"2026-08-25 15:39:08"
PL11,"97KHUONTHEP-NEWTON-S9.7.CASE COVER PC","Khuôn thép NEWTON-S 9.7"" CASE COVER PC#1/1x4","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1593,"2026-08-25 15:39:08"
PL11,"97KHUONTHEP-NEWTON-S9.7.CASE COVER TPE","Khuôn thép NEWTON-S 9.7"" CASE COVER TPE#1/1x4","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1594,"2026-08-25 15:39:08"
PL11,"97KHUONTHEP-NEWTON-S9.7.CASE REAR","Khuôn thép NEWTON-S 9.7"" CASE REAR,#1/2x1","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1595,"2026-08-25 15:39:08"
PL11,97KHUONTHEP-SM-A145F,"Khuôn thép SM-A145F Camera Deco","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1596,"2026-08-25 15:39:08"
PL11,97KHUONTHEP-TS23240-NEWTON,"Khuôn thép TS23240-Newton Pro 2.7''case rear#1","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1597,"2026-08-25 15:39:08"
PL11,97KHUON_T4511CN_CASELOWER#1_SV2313,"Khuôn thép T4511CN_CASE LCWER#1 SV-2313, hàng mới 100%","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1590,"2026-08-25 15:39:08"
PL11,97NEWTON-2.6-BUTTON,"KHuôn thép dùng để đúc sp bằng nhựa Newton 2.6"" Button","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1598,"2026-08-25 15:39:08"
PL11,97NEWTON-S2.6-HOUSING,"khuôn thép dùng để đúc các sản phẩm bằng nhựa Newton S2.6"" housing","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1602,"2026-08-25 15:39:08"
PL11,97NEWTON-S7.5-HOUSING,"Khuôn thép Newton S7.5 Inch housing Rear #1","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1603,"2026-08-25 15:39:08"
PL11,97NEWTONCORE-9.7-CASEBATTERY,"Khuôn thép dùng để đúc SP nhựa Newton Core 9.7 Case Battery","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1599,"2026-08-25 15:39:08"
PL11,"97NEWTONCORE-S9.7-CASE FRONT","Khuôn thép dùng đúc SP bằng nhựa Newton core S9.7"" Case front","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1600,"2026-08-25 15:39:08"
PL11,97NEWTONCORE-S9.7-CASEREAR,"Khuôn thép dùng để đúc sản phẩm Newton core S9.7 Case Rear #1/1","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1601,"2026-08-25 15:39:08"
PL11,97SV2303-MOLD,"Khuôn SV-2303 T2510 WW case Upper #1","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1608,"2026-08-25 15:39:08"
PL11,97SV2304-MOLD,"Khuôn SV-2304 T2510 EU case lower #1","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1609,"2026-08-25 15:39:08"
PL11,97SV2308-MOLD,"Khuôn SV-2308 T2510 KR case lower","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1610,"2026-08-25 15:39:08"
PL11,97SV2309-MOLD,"Khuôn SV-2309 T2510 BR Case Lower","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1611,"2026-08-25 15:39:08"
PL11,97SV2313-MOLD,"Khuôn Newton S1.6"" SV-2313 housing Rear","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1612,"2026-08-25 15:39:08"
PL11,97SV2314-MOLD,"Khuôn Newton S2.2"" SV-2314 Case Cover","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1613,"2026-08-25 15:39:08"
PL11,97SV2315-MOLD,"Khuôn Newton S2.2"" SV-2315 Rubber Ring","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1614,"2026-08-25 15:39:08"
PL11,MOLD,"MOLD các loại","",10,"Finished Goods",MZ000,Mold,"","",EA,1,A,0,8053,"2026-08-25 15:39:08"
PL11,SMOAFISF534001,"Khuôn thép -Mold (F5346030)","Khuôn thép -Mold (F5346030)",10,"Finished Goods",MZ000,Mold,"","",EA,1,A,0,9385,"2026-08-25 15:39:08"
PL11,SMOAFISF534002,"Khuôn thép -Mold (F5346026)","Khuôn thép -Mold (F5346026)",10,"Finished Goods",MZ000,Mold,"","",EA,1,A,0,9386,"2026-08-25 15:39:08"
PL11,SMOAFISF534003,"Khuôn thép -Mold (F5345007)","Khuôn thép -Mold (F5345007)",10,"Finished Goods",MZ000,Mold,"","",EA,1,A,0,9387,"2026-08-25 15:39:08"
PL11,SMOAFISF534004,"Khuôn thép -Mold (0092603)","Khuôn thép -Mold (0092603)",10,"Finished Goods",MZ000,Mold,"","",EA,1,A,0,9388,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD001,"Mold Newton core 4.2 Housing rear1 SV2413","Khuôn thép-Mold Newton core 4.2 Housing rear1 SV2413",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9441,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD002,"MOLD NEWTON A 3.52Inch CASE FRONT 1 SV-2415","Khuôn thép NEWTON A 3.52Inch CASE FRONT 1 SV-2415",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9442,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD003,"MOLD NEWTON A 3.52Inch CASE FRONT 1 SV-2414","Khuôn thép NEWTON A 3.52Inch CASE FRONT 1 SV-2414",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9443,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD004,"MOLD NEWTON A 3.52Inch CASE FRONT 1 SV-2416","Khuôn thép NEWTON A 3.52Inch CASE FRONT 1 SV-2416",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9444,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD005,"MOLD PRS2 TAG 1.6H Case Rear #1 SV-2434","Khuôn thép PRS2 TAG 1.6H Case Rear #1 SV-2434",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9445,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD006,"MOLD PRS2 TAG 1.6H Button#1 SV-2435","Khuôn thép PRS2 TAG 1.6H Button#1 SV-2435",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9446,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD008,"MOLD Newton M3_3.52 AlDI case Rear 3 SV-2501","Khuôn thép-Mold Newton core 4.2 Housing rear1 SV2413",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9447,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD009,"MOLD Lanyard-Tag 2.9” Housing Rear #1 SV-2426","Khuôn thép Lanyard-Tag 2.9” Housing Rear #1 SV-2426",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9448,"2026-08-25 15:39:08"
PL11,SPDPESLMOLD010,"MOLD Lanyard-Tag 4.2” Housing Rear #1 SV-2427","Khuôn thép Lanyard-Tag 4.2” Housing Rear #1 SV-2427",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9449,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD001,"MOLD ESL_PRS2 (POWER RAIL) Assy Case Body Rc Prs2 #1 SV2419","ESL_PRS2 (POWER RAIL) Assy Case Body Rc Prs2 #1 SV2419",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9501,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD002,"MOLD ESL_PRS2 (POWER RAIL) Ligh pipe #1 SV2420","ESL_PRS2 (POWER RAIL) Ligh pipe #1 SV2420",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9502,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD003,"MOLD ESL_PRS2 (POWER RAIL) Case cover rc Prs2 #1 SV2422","ESL_PRS2 (POWER RAIL) Case cover rc Prs2 #1 SV2422",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9503,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD004,"MOLD ESL_PRS2 (POWER RAIL) Cap Rail Prs2 #1 SV2421","ESL_PRS2 (POWER RAIL) Cap Rail Prs2 #1 SV2421",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9504,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD005,"MOLD ESL_PRS2 (POWER RAIL) Case battery Prs2 #1 SV2417","ESL_PRS2 (POWER RAIL) Case battery Prs2 #1 SV2417",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9505,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD006,"MOLD ESL_PRS2 (POWER RAIL) Cover battery Prs2 #1 SV2418","ESL_PRS2 (POWER RAIL) Cover battery Prs2 #1 SV2418",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9506,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD007,"MOLD ESL_PRS2 (POWER RAIL) CASE REAR TAG 1.6 #1 SV2425","ESL_PRS2 (POWER RAIL) CASE REAR TAG 1.6 #1 SV2425",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9507,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD008,"MOLD ESL_PRS2 (POWER RAIL) CASE REAR TAG 2.2 #1 SV2423","ESL_PRS2 (POWER RAIL) CASE REAR TAG 2.2 #1 SV2423",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9508,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD009,"MOLD ESL_PRS2 (POWER RAIL) CASE REAR TAG 2.9 #1 SV2424","ESL_PRS2 (POWER RAIL) CASE REAR TAG 2.9 #1 SV2424",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9509,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD010,"MOLD Spectra-6_31.5"" Case Middle #1 SV-2429","Khuôn thép Spectra-6_31.5"" Case Middle #1 SV-2429",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9510,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD011,"MOLD Spectra-6_31.5"" Power Case Top #1 SV-2430","Khuôn thép Spectra-6_31.5"" Power Case Top #1 SV-2430",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9511,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD012,"MOLD Spectra-6_31.5"" Power Case Bottom #1 SV-2431","Khuôn thép Spectra-6_31.5"" Power Case Bottom #1 SV-2431",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9512,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD013,"MOLD Spectra-6_31.5"" Batt cover #1 SV-2432","Khuôn thép Spectra-6_31.5"" Batt cover #1 SV-2432",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9513,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD014,"MOLD CAP-RC 72 CAV ( 200mm*200mm*50mm )","Khuôn CAP-RC 72 CAV ( 200mm*200mm*50mm )",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9514,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD015,"MOLD SPRS CASE BODY RC SV2502","Khuôn thép SPRS CASE BODY RC SV2502",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9515,"2026-08-25 15:39:08"
PL11,SPDPPWRMOLD016,"MOLD SPRS CASE BATTERY RC SV2503","Khuôn thép SPRS CASE BATTERY RC SV2503",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9516,"2026-08-25 15:39:08"
PL11,SPHAADTMOLD001,"MOLD A200/A800 CN PLUG PIN MOLD #1 SV-2515","Khuôn thép A200/A800 CN PLUG PIN MOLD #1 SV-2515",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9526,"2026-08-25 15:39:08"
PL11,SPHAADTMOLD002,"MOLD T4511 CN PLUG PIN MOLD #1 SV-2516","Khuôn thép T4511 CN PLUG PIN MOLD #1 SV-2516",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,9527,"2026-08-25 15:39:08"
