UNCOVERED 249/487
equipment-05설비툴.json	PUT /maintenance/downtimes/{downtimeId}	maintenance	비가동 수정	403
equipment-05설비툴.json	PUT /maintenance/results/{maintenanceResultId}	maintenance	보전 실적 수정	403
logistics-01자재창고.json	GET /inventory/adjustments	inventory	재고 조정 목록	
logistics-01자재창고.json	GET /inventory/adjustments/{inventoryAdjustmentId}	inventory	재고 조정 상세	
logistics-01자재창고.json	GET /inventory/adjustments/{inventoryAdjustmentId}/lines	inventory	조정 라인 목록	
logistics-01자재창고.json	GET /inventory/counts	inventory	실사 목록	
logistics-01자재창고.json	GET /inventory/counts/{inventoryCountId}	inventory	실사 상세	
logistics-01자재창고.json	GET /inventory/counts/{inventoryCountId}/lines	inventory	실사 라인 목록	
logistics-01자재창고.json	GET /inventory/handling-units	inventory	취급 단위 목록	
logistics-01자재창고.json	GET /inventory/handling-units/{handlingUnitId}	inventory	취급 단위 상세	
logistics-01자재창고.json	GET /inventory/handling-units/{handlingUnitId}/contents	inventory	취급 단위 구성 목록	
logistics-01자재창고.json	GET /inventory/handling-units/{handlingUnitId}/repack-events	inventory	포장 재구성 이력	
logistics-01자재창고.json	GET /inventory/reservations	inventory	재고 예약 조회	
logistics-01자재창고.json	GET /logistics/asns	logistics	입하 예정 목록	
logistics-01자재창고.json	GET /logistics/asns/{asnId}	logistics	입하 예정 상세	
logistics-01자재창고.json	GET /logistics/asns/{asnId}/lines	logistics	입하 예정 라인	
logistics-01자재창고.json	GET /logistics/document-progress	logistics	물류 문서 진행현황	
logistics-01자재창고.json	GET /logistics/document-progress/{documentTypeCode}/{documentId}	logistics	물류 문서 진행현황 상세	
logistics-01자재창고.json	GET /logistics/goods-issues	logistics	출고 목록	
logistics-01자재창고.json	GET /logistics/goods-issues/{goodsIssueId}	logistics	출고 상세	
logistics-01자재창고.json	GET /logistics/goods-issues/{goodsIssueId}/lines	logistics	출고 라인 목록	
logistics-01자재창고.json	GET /logistics/inbound-receipt-lines/{inboundReceiptLineId}/variances	logistics	입하 차이 목록	
logistics-01자재창고.json	GET /logistics/inbound-receipts	logistics	입하 목록	
logistics-01자재창고.json	GET /logistics/inbound-receipts/{inboundReceiptId}	logistics	입하 상세	
logistics-01자재창고.json	GET /logistics/inbound-receipts/{inboundReceiptId}/lines	logistics	입하 라인 목록	
logistics-01자재창고.json	GET /logistics/material-issue-requests	logistics	자재 출고 요청 목록	
logistics-01자재창고.json	GET /logistics/material-issue-requests/shortage	logistics	W/O 품목별 소요·기출고·부족	
logistics-01자재창고.json	GET /logistics/material-issue-requests/{materialIssueRequestId}	logistics	자재 출고 요청 상세	
logistics-01자재창고.json	GET /logistics/picking-orders	logistics	피킹 지시 목록	
logistics-01자재창고.json	GET /logistics/picking-orders/{pickingOrderId}	logistics	피킹 지시 상세	
logistics-01자재창고.json	GET /logistics/purchase-orders	logistics	P/O 목록	
logistics-01자재창고.json	GET /logistics/purchase-orders/{purchaseOrderId}	logistics	P/O 상세	
logistics-01자재창고.json	GET /logistics/purchase-orders/{purchaseOrderId}/lines	logistics	P/O 라인 목록	
logistics-01자재창고.json	GET /logistics/putaway-tasks	logistics	적치 지시 목록	
logistics-01자재창고.json	GET /logistics/putaway-tasks/{putawayTaskId}	logistics	적치 지시 상세	
logistics-01자재창고.json	GET /logistics/shopfloor-receipts	logistics	생산창고 입고 목록	
logistics-01자재창고.json	GET /logistics/shopfloor-receipts/{shopfloorReceiptId}	logistics	생산창고 입고 상세	
logistics-01자재창고.json	GET /logistics/stock-transfers	logistics	재고 이동 목록	
logistics-01자재창고.json	GET /logistics/stock-transfers/{stockTransferId}	logistics	재고 이동 상세	
logistics-01자재창고.json	GET /logistics/stock-transfers/{stockTransferId}/lines	logistics	이동 라인 목록	
logistics-01자재창고.json	GET /trace/lot-lifecycle-events	trace	LOT 생명주기 변경이력 조회 — 전이 3종 전건	
logistics-01자재창고.json	GET /trace/lot-status-events	trace	LOT 상태 변경이력 조회 — 전이 9종 전건	
logistics-01자재창고.json	GET /trace/lots/{lotId}/external-identifiers	trace	LOT 외부 식별자 목록	
logistics-01자재창고.json	GET /trace/lots/{lotId}/holds	trace	LOT 보류 목록	
logistics-01자재창고.json	POST /inventory/adjustments	inventory	재고 조정 등록	403
logistics-01자재창고.json	POST /inventory/adjustments/{inventoryAdjustmentId}:post	inventory	재고 조정 전기	403
logistics-01자재창고.json	POST /inventory/adjustments/{inventoryAdjustmentId}:request-approval	inventory	재고 조정 상신	403
logistics-01자재창고.json	POST /inventory/counts	inventory	실사 개시	403
logistics-01자재창고.json	POST /inventory/counts/{inventoryCountId}:close	inventory	실사 마감	403
logistics-01자재창고.json	POST /inventory/handling-units	inventory	취급 단위 등록	403
logistics-01자재창고.json	POST /inventory/handling-units/{handlingUnitId}:pack	inventory	포장 확정	403
logistics-01자재창고.json	POST /logistics/document-progress/{documentTypeCode}/{documentId}:cancel	logistics	물류 문서 취소 실행	403
logistics-01자재창고.json	POST /logistics/document-progress/{documentTypeCode}/{documentId}:request-cancel	logistics	물류 문서 취소 요청	403
logistics-01자재창고.json	POST /logistics/goods-issues	logistics	출고 등록	403
logistics-01자재창고.json	POST /logistics/goods-issues/{goodsIssueId}:post	logistics	출고 전기	403
logistics-01자재창고.json	POST /logistics/goods-issues/{goodsIssueId}:request-approval	logistics	기타 출고 품의 상신	403
logistics-01자재창고.json	POST /logistics/inbound-receipt-lines/{inboundReceiptLineId}/variances	logistics	입하 차이 등록	403
logistics-01자재창고.json	POST /logistics/inbound-receipts	logistics	입하 등록	403
logistics-01자재창고.json	POST /logistics/inbound-receipts:split	logistics	초과 입하 분리 등록	403
logistics-01자재창고.json	POST /logistics/material-issue-requests	logistics	추가 자재 출고 요청 발행	403
logistics-01자재창고.json	POST /logistics/picking-orders/{pickingOrderId}/lines/{pickingLineId}:pick	logistics	라인 피킹	403
logistics-01자재창고.json	POST /logistics/purchase-orders	logistics	P/O 등록	403
logistics-01자재창고.json	POST /logistics/purchase-orders/{purchaseOrderId}:request-approval	logistics	P/O 승인 요청	403
logistics-01자재창고.json	POST /logistics/putaway-tasks/{putawayTaskId}:complete	logistics	적치 완료	403
logistics-01자재창고.json	POST /logistics/putaway-tasks/{putawayTaskId}:complete-temporary	logistics	임시 위치 적재	403
logistics-01자재창고.json	POST /logistics/recycle-entries	logistics	재생재 등록	403
logistics-01자재창고.json	POST /logistics/shopfloor-receipts	logistics	생산창고 입고 확정	403
logistics-01자재창고.json	POST /logistics/stock-transfers	logistics	반출 등록	403
logistics-01자재창고.json	POST /logistics/stock-transfers/{stockTransferId}:arrive	logistics	도착 확정	403
